GROUP ID,KETERANGAN,PROPINSI
111,BPBD PROV.  Aceh,Aceh
11101,BPBD  Kab. Aceh Selatan,Aceh
11102,BPBD  Kab. Aceh Tenggara,Aceh
11103,BPBD  Kab. Aceh Timur,Aceh
11104,BPBD  Kab. Aceh Tengah,Aceh
11105,BPBD  Kab. Aceh Barat,Aceh
11106,BPBD  Kab. Aceh Besar,Aceh
11107,BPBD  Kab. Pidie,Aceh
11108,BPBD  Kab. Aceh Utara,Aceh
11109,BPBD  Kab. Simeulue,Aceh
11110,BPBD  Kab. Aceh Singkil,Aceh
11111,BPBD  Kab. Bireuen,Aceh
11112,BPBD  Kab. Aceh Barat Daya,Aceh
11113,BPBD  Kab. Gayo Lues,Aceh
11114,BPBD  Kab. Aceh Jaya,Aceh
11115,BPBD  Kab. Nagan Raya,Aceh
11116,BPBD  Kab. Aceh Tamiang,Aceh
11117,BPBD  Kab. Bener Meriah,Aceh
11118,BPBD  Kab. Pidie Jaya,Aceh
11171,BPBD  Kota Banda Aceh,Aceh
11172,BPBD  Kota Sabang,Aceh
11173,BPBD  Kota Lhokseumawe,Aceh
11174,BPBD  Kota Langsa,Aceh
11175,BPBD  Kota Subulussalam,Aceh
112,BPBD PROV.  SUMUT,Sumatera Utara
11201,BPBD  Kab. Tapanuli Tengah,Sumatera Utara
11202,BPBD  Kab. Tapanuli Utara,Sumatera Utara
11203,BPBD  Kab. Tapanuli Selatan,Sumatera Utara
11204,BPBD  Kab. Nias,Sumatera Utara
11205,BPBD  Kab. Langkat,Sumatera Utara
11206,BPBD  Kab. Karo,Sumatera Utara
11207,BPBD  Kab. Deli Serdang,Sumatera Utara
11208,BPBD  Kab. Simalungun,Sumatera Utara
11209,BPBD  Kab. Asahan,Sumatera Utara
11210,BPBD  Kab. Labuhanbatu,Sumatera Utara
11211,BPBD  Kab. Dairi,Sumatera Utara
11212,BPBD  Kab. Toba Samosir,Sumatera Utara
11213,BPBD  Kab. Mandailing Natal,Sumatera Utara
11214,BPBD  Kab. Nias Selatan,Sumatera Utara
