GROUP ID,KETERANGAN,PROPINSI
300,KEMENKES RI
311,DINKES PROV.  Aceh,Aceh
31101,DINKES Kab. Aceh Selatan,Aceh
31102,DINKES Kab. Aceh Tenggara,Aceh
31103,DINKES Kab. Aceh Timur,Aceh
31104,DINKES Kab. Aceh Tengah,Aceh
31105,DINKES Kab. Aceh Barat,Aceh
31106,DINKES Kab. Aceh Besar,Aceh
31107,DINKES Kab. Pidie,Aceh
31108,DINKES Kab. Aceh Utara,Aceh
31109,DINKES Kab. Simeulue,Aceh
31110,DINKES Kab. Aceh Singkil,Aceh
31111,DINKES Kab. Bireuen,Aceh
31112,DINKES Kab. Aceh Barat Daya,Aceh
31113,DINKES Kab. Gayo Lues,Aceh
31114,DINKES Kab. Aceh Jaya,Aceh
31115,DINKES Kab. Nagan Raya,Aceh
31116,DINKES Kab. Aceh Tamiang,Aceh
31117,DINKES Kab. Bener Meriah,Aceh
31118,DINKES Kab. Pidie Jaya,Aceh
31171,DINKES Kota Banda Aceh,Aceh
31172,DINKES Kota Sabang,Aceh
31173,DINKES Kota Lhokseumawe,Aceh
31174,DINKES Kota Langsa,Aceh
31175,DINKES Kota Subulussalam,Aceh
312,DINKES PROV.  SUMUT,Sumatera Utara
31201,DINKES Kab. Tapanuli Tengah,Sumatera Utara
31202,DINKES Kab. Tapanuli Utara,Sumatera Utara
31203,DINKES Kab. Tapanuli Selatan,Sumatera Utara
31204,DINKES Kab. Nias,Sumatera Utara
31205,DINKES Kab. Langkat,Sumatera Utara
31206,DINKES Kab. Karo,Sumatera Utara
31207,DINKES Kab. Deli Serdang,Sumatera Utara
31208,DINKES Kab. Simalungun,Sumatera Utara
31209,DINKES Kab. Asahan,Sumatera Utara
31210,DINKES Kab. Labuhanbatu,Sumatera Utara
31211,DINKES Kab. Dairi,Sumatera Utara
31212,DINKES Kab. Toba Samosir,Sumatera Utara
31213,DINKES Kab. Mandailing Natal,Sumatera Utara
31214,DINKES Kab. Nias Selatan,Sumatera Utara
31215,DINKES Kab. Pakpak Bharat,Sumatera Utara
31216,DINKES Kab. Humbang Hasundutan,Sumatera Utara
31217,DINKES Kab. Samosir,Sumatera Utara
31218,DINKES Kab. Serdang Bedagai,Sumatera Utara
31219,DINKES Kab. Batu Bara,Sumatera Utara
31220,DINKES Kab. Padang Lawas Utara,Sumatera Utara
31221,DINKES Kab. Padang Lawas,Sumatera Utara
31222,DINKES Kab. Labuhanbatu Selatan,Sumatera Utara
31223,DINKES Kab. Labuhanbatu Utara,Sumatera Utara
31224,DINKES Kab. Nias Utara,Sumatera Utara
31225,DINKES Kab. Nias Barat,Sumatera Utara
31271,DINKES Kota Medan,Sumatera Utara
31272,DINKES Kota Pematang Siantar,Sumatera Utara
31273,DINKES Kota Sibolga,Sumatera Utara
31274,DINKES Kota Tanjung Balai,Sumatera Utara
31275,DINKES Kota Binjai,Sumatera Utara
31276,DINKES Kota Tebing Tinggi,Sumatera Utara
31277,DINKES Kota Padang Sidempuan,Sumatera Utara
31278,DINKES Kota Gunung Sitoli,Sumatera Utara
313,DINKES PROV.  SUMBAR,Sumatera Barat
31301,DINKES Kab. Pesisir Selatan,Sumatera Barat
31302,DINKES Kab. Solok,Sumatera Barat
31303,DINKES Kab. Sijunjung,Sumatera Barat
31304,DINKES Kab. Tanah Datar,Sumatera Barat
31305,DINKES Kab. Padang Pariaman,Sumatera Barat
31306,DINKES Kab. Agam,Sumatera Barat
31307,DINKES Kab. Lima Puluh Kota,Sumatera Barat
31308,DINKES Kab. Pasaman,Sumatera Barat
31309,DINKES Kab. Kepulauan Mentawai,Sumatera Barat
31310,DINKES Kab. Dharmasraya,Sumatera Barat
31311,DINKES Kab. Solok Selatan,Sumatera Barat
31312,DINKES Kab. Pasaman Barat,Sumatera Barat
31371,DINKES Kota Padang,Sumatera Barat
31372,DINKES Kota Solok,Sumatera Barat
31373,DINKES Kota Sawahlunto,Sumatera Barat
31374,DINKES Kota Padangpanjang,Sumatera Barat
31375,DINKES Kota Bukittinggi,Sumatera Barat
31376,DINKES Kota Payakumbuh,Sumatera Barat
31377,DINKES Kota Pariaman,Sumatera Barat
314,DINKES PROV.  RIAU,Riau
31401,DINKES Kab. Kampar,Riau
31402,DINKES Kab. Indragiri Hulu,Riau
31403,DINKES Kab. Bengkalis,Riau
31404,DINKES Kab. Indragiri Hilir,Riau
31405,DINKES Kab. Pelalawan,Riau
31406,DINKES Kab. Rokan Hulu,Riau
31407,DINKES Kab. Rokan Hilir,Riau
31408,DINKES Kab. Siak,Riau
31409,DINKES Kab. Kuantan Singingi,Riau
31410,DINKES Kab. Kepulauan Meranti,Riau
31471,DINKES Kota Pekanbaru,Riau
31472,DINKES Kota Dumai,Riau
315,DINKES PROV.  JAMBI,Jambi
31501,DINKES Kab. Kerinci,Jambi
31502,DINKES Kab. Merangin,Jambi
31503,DINKES Kab. Sarolangun,Jambi
31504,DINKES Kab. Batanghari,Jambi
31505,DINKES Kab. Muaro Jambi,Jambi
