GROUP ID,KETERANGAN,PROPINSI
400,KEMENSOS RI
411,DINSOS PROV.  Aceh,Aceh
41101,DINSOS Kab. Aceh Selatan,Aceh
41102,DINSOS Kab. Aceh Tenggara,Aceh
41103,DINSOS Kab. Aceh Timur,Aceh
41104,DINSOS Kab. Aceh Tengah,Aceh
41105,DINSOS Kab. Aceh Barat,Aceh
41106,DINSOS Kab. Aceh Besar,Aceh
41107,DINSOS Kab. Pidie,Aceh
41108,DINSOS Kab. Aceh Utara,Aceh
41109,DINSOS Kab. Simeulue,Aceh
41110,DINSOS Kab. Aceh Singkil,Aceh
41111,DINSOS Kab. Bireuen,Aceh
41112,DINSOS Kab. Aceh Barat Daya,Aceh
41113,DINSOS Kab. Gayo Lues,Aceh
41114,DINSOS Kab. Aceh Jaya,Aceh
41115,DINSOS Kab. Nagan Raya,Aceh
41116,DINSOS Kab. Aceh Tamiang,Aceh
41117,DINSOS Kab. Bener Meriah,Aceh
41118,DINSOS Kab. Pidie Jaya,Aceh
41171,DINSOS Kota Banda Aceh,Aceh
41172,DINSOS Kota Sabang,Aceh
41173,DINSOS Kota Lhokseumawe,Aceh
41174,DINSOS Kota Langsa,Aceh
41175,DINSOS Kota Subulussalam,Aceh
412,DINSOS PROV.  SUMUT,Sumatera Utara
41201,DINSOS Kab. Tapanuli Tengah,Sumatera Utara
41202,DINSOS Kab. Tapanuli Utara,Sumatera Utara
41203,DINSOS Kab. Tapanuli Selatan,Sumatera Utara
41204,DINSOS Kab. Nias,Sumatera Utara
41205,DINSOS Kab. Langkat,Sumatera Utara
41206,DINSOS Kab. Karo,Sumatera Utara
41207,DINSOS Kab. Deli Serdang,Sumatera Utara
41208,DINSOS Kab. Simalungun,Sumatera Utara
41209,DINSOS Kab. Asahan,Sumatera Utara
41210,DINSOS Kab. Labuhanbatu,Sumatera Utara
41211,DINSOS Kab. Dairi,Sumatera Utara
41212,DINSOS Kab. Toba Samosir,Sumatera Utara
41213,DINSOS Kab. Mandailing Natal,Sumatera Utara
41214,DINSOS Kab. Nias Selatan,Sumatera Utara
41215,DINSOS Kab. Pakpak Bharat,Sumatera Utara
41216,DINSOS Kab. Humbang Hasundutan,Sumatera Utara
41217,DINSOS Kab. Samosir,Sumatera Utara
41218,DINSOS Kab. Serdang Bedagai,Sumatera Utara
41219,DINSOS Kab. Batu Bara,Sumatera Utara
41220,DINSOS Kab. Padang Lawas Utara,Sumatera Utara
41221,DINSOS Kab. Padang Lawas,Sumatera Utara
41222,DINSOS Kab. Labuhanbatu Selatan,Sumatera Utara
41223,DINSOS Kab. Labuhanbatu Utara,Sumatera Utara
41224,DINSOS Kab. Nias Utara,Sumatera Utara
41225,DINSOS Kab. Nias Barat,Sumatera Utara
41271,DINSOS Kota Medan,Sumatera Utara
41272,DINSOS Kota Pematang Siantar,Sumatera Utara
41273,DINSOS Kota Sibolga,Sumatera Utara
41274,DINSOS Kota Tanjung Balai,Sumatera Utara
41275,DINSOS Kota Binjai,Sumatera Utara
41276,DINSOS Kota Tebing Tinggi,Sumatera Utara
41277,DINSOS Kota Padang Sidempuan,Sumatera Utara
41278,DINSOS Kota Gunung Sitoli,Sumatera Utara
413,DINSOS PROV.  SUMBAR,Sumatera Barat
41301,DINSOS Kab. Pesisir Selatan,Sumatera Barat
41302,DINSOS Kab. Solok,Sumatera Barat
41303,DINSOS Kab. Sijunjung,Sumatera Barat
41304,DINSOS Kab. Tanah Datar,Sumatera Barat
41305,DINSOS Kab. Padang Pariaman,Sumatera Barat
41306,DINSOS Kab. Agam,Sumatera Barat
41307,DINSOS Kab. Lima Puluh Kota,Sumatera Barat
41308,DINSOS Kab. Pasaman,Sumatera Barat
41309,DINSOS Kab. Kepulauan Mentawai,Sumatera Barat
41310,DINSOS Kab. Dharmasraya,Sumatera Barat
41311,DINSOS Kab. Solok Selatan,Sumatera Barat
41312,DINSOS Kab. Pasaman Barat,Sumatera Barat
41371,DINSOS Kota Padang,Sumatera Barat
41372,DINSOS Kota Solok,Sumatera Barat
41373,DINSOS Kota Sawahlunto,Sumatera Barat
41374,DINSOS Kota Padangpanjang,Sumatera Barat
41375,DINSOS Kota Bukittinggi,Sumatera Barat
41376,DINSOS Kota Payakumbuh,Sumatera Barat
41377,DINSOS Kota Pariaman,Sumatera Barat
414,DINSOS PROV.  RIAU,Riau
41401,DINSOS Kab. Kampar,Riau
41402,DINSOS Kab. Indragiri Hulu,Riau
41403,DINSOS Kab. Bengkalis,Riau
41404,DINSOS Kab. Indragiri Hilir,Riau
41405,DINSOS Kab. Pelalawan,Riau
41406,DINSOS Kab. Rokan Hulu,Riau
41407,DINSOS Kab. Rokan Hilir,Riau
41408,DINSOS Kab. Siak,Riau
41409,DINSOS Kab. Kuantan Singingi,Riau
41410,DINSOS Kab. Kepulauan Meranti,Riau
41471,DINSOS Kota Pekanbaru,Riau
41472,DINSOS Kota Dumai,Riau
415,DINSOS PROV.  JAMBI,Jambi
41501,DINSOS Kab. Kerinci,Jambi
41502,DINSOS Kab. Merangin,Jambi
41503,DINSOS Kab. Sarolangun,Jambi
41504,DINSOS Kab. Batanghari,Jambi
41505,DINSOS Kab. Muaro Jambi,Jambi
41506,DINSOS Kab. Tanjung Jabung Barat,Jambi
41507,DINSOS Kab. Tanjung Jabung Timur,Jambi
41508,DINSOS Kab. Bungo,Jambi
41509,DINSOS Kab. Tebo,Jambi
41571,DINSOS Kota Jambi,Jambi
41572,DINSOS Kota Sungai Penuh,Jambi
416,DINSOS PROV.  SUMSEL,Sumatera Selatan
41601,DINSOS Kab. Ogan Komering Ulu,Sumatera Selatan
41602,DINSOS Kab. Ogan Komering Ilir,Sumatera Selatan
41603,DINSOS Kab. Muara Enim,Sumatera Selatan
41604,DINSOS Kab. Lahat,Sumatera Selatan
41605,DINSOS Kab. Musi Rawas,Sumatera Selatan
41606,DINSOS Kab. Musi Banyuasin,Sumatera Selatan
41607,DINSOS Kab. Banyuasin,Sumatera Selatan
41608,DINSOS Kab. Ogan Komering Ulu Timur,Sumatera Selatan
41609,DINSOS Kab. Ogan Komering Ulu Selatan,Sumatera Selatan
41610,DINSOS Kab. Ogan Ilir,Sumatera Selatan
41611,DINSOS Kab. Empat Lawang,Sumatera Selatan
41612,DINSOS Kab. Penukal Abab Lematang Ilir,Sumatera Selatan
41613,DINSOS Kab. Musi Rawas Utara,Sumatera Selatan
41671,DINSOS Kota Palembang,Sumatera Selatan
41672,DINSOS Kota Pagar Alam,Sumatera Selatan
41673,DINSOS Kota Lubuk Linggau,Sumatera Selatan
41674,DINSOS Kota Prabumulih,Sumatera Selatan
417,DINSOS PROV.  BENGKULU,Bengkulu
41701,DINSOS Kab. Bengkulu Selatan,Bengkulu
41702,DINSOS Kab. Rejang Lebong,Bengkulu
41703,DINSOS Kab. Bengkulu Utara,Bengkulu
41704,DINSOS Kab. Kaur,Bengkulu
41705,DINSOS Kab. Seluma,Bengkulu
41706,DINSOS Kab. Mukomuko,Bengkulu
41707,DINSOS Kab. Lebong,Bengkulu
41708,DINSOS Kab. Kepahiang,Bengkulu
41709,DINSOS Kab. Bengkulu Tengah,Bengkulu
41771,DINSOS Kota Bengkulu,Bengkulu
418,DINSOS PROV.  LAMPUNG,Lampung
41801,DINSOS Kab. Lampung Selatan,Lampung
41802,DINSOS Kab. Lampung Tengah,Lampung
41803,DINSOS Kab. Lampung Utara,Lampung
41804,DINSOS Kab. Lampung Barat,Lampung
41805,DINSOS Kab. Tulang Bawang,Lampung
41806,DINSOS Kab. Tenggamus,Lampung
41807,DINSOS Kab. Lampung Timur,Lampung
41808,DINSOS Kab. Way Kanan,Lampung
41809,DINSOS Kab. Pesawaran,Lampung
41810,DINSOS Kab. Pringsewu,Lampung
41811,DINSOS Kab. Mesuji,Lampung
41812,DINSOS Kab. Tulang Bawang Barat,Lampung
41813,DINSOS Kab. Pesisir Barat,Lampung
41871,DINSOS Kota Bandar Lampung,Lampung
41872,DINSOS Kota Metro,Lampung
419,DINSOS PROV.  BABEL,Bangka Belitung
41901,DINSOS Kab. Bangka,Bangka Belitung
41902,DINSOS Kab. Belitung,Bangka Belitung
41903,DINSOS Kab. Bangka Selatan,Bangka Belitung
41904,DINSOS Kab. Bangka Tengah,Bangka Belitung
41905,DINSOS Kab. Bangka Barat,Bangka Belitung
41906,DINSOS Kab. Belitung Timur,Bangka Belitung
41971,DINSOS Kota Pangkal Pinang,Bangka Belitung
421,DINSOS PROV.  KEPRI,Kepulauan Riau
42101,DINSOS Kab. Bintan,Kepulauan Riau
