GROUP ID,KETERANGAN,PROPINSI
90711,GRKN-PRAMUKA KWARDA   Aceh,Aceh
9071101,GRKN-PRAMUKA KWARCAB Kab. Aceh Selatan,Aceh
9071102,GRKN-PRAMUKA KWARCAB Kab. Aceh Tenggara,Aceh
9071103,GRKN-PRAMUKA KWARCAB Kab. Aceh Timur,Aceh
9071104,GRKN-PRAMUKA KWARCAB Kab. Aceh Tengah,Aceh
9071105,GRKN-PRAMUKA KWARCAB Kab. Aceh Barat,Aceh
9071106,GRKN-PRAMUKA KWARCAB Kab. Aceh Besar,Aceh
9071107,GRKN-PRAMUKA KWARCAB Kab. Pidie,Aceh
9071108,GRKN-PRAMUKA KWARCAB Kab. Aceh Utara,Aceh
9071109,GRKN-PRAMUKA KWARCAB Kab. Simeulue,Aceh
9071110,GRKN-PRAMUKA KWARCAB Kab. Aceh Singkil,Aceh
9071111,GRKN-PRAMUKA KWARCAB Kab. Bireuen,Aceh
9071112,GRKN-PRAMUKA KWARCAB Kab. Aceh Barat Daya,Aceh
9071113,GRKN-PRAMUKA KWARCAB Kab. Gayo Lues,Aceh
9071114,GRKN-PRAMUKA KWARCAB Kab. Aceh Jaya,Aceh
9071115,GRKN-PRAMUKA KWARCAB Kab. Nagan Raya,Aceh
9071116,GRKN-PRAMUKA KWARCAB Kab. Aceh Tamiang,Aceh
9071117,GRKN-PRAMUKA KWARCAB Kab. Bener Meriah,Aceh
9071118,GRKN-PRAMUKA KWARCAB Kab. Pidie Jaya,Aceh
9071171,GRKN-PRAMUKA KWARCAB Kota Banda Aceh,Aceh
9071172,GRKN-PRAMUKA KWARCAB Kota Sabang,Aceh
9071173,GRKN-PRAMUKA KWARCAB Kota Lhokseumawe,Aceh
9071174,GRKN-PRAMUKA KWARCAB Kota Langsa,Aceh
9071175,GRKN-PRAMUKA KWARCAB Kota Subulussalam,Aceh
90712,GRKN-PRAMUKA KWARDA   SUMUT,Sumatera Utara
9071201,GRKN-PRAMUKA KWARCAB Kab. Tapanuli Tengah,Sumatera Utara
9071202,GRKN-PRAMUKA KWARCAB Kab. Tapanuli Utara,Sumatera Utara
9071203,GRKN-PRAMUKA KWARCAB Kab. Tapanuli Selatan,Sumatera Utara
9071204,GRKN-PRAMUKA KWARCAB Kab. Nias,Sumatera Utara
9071205,GRKN-PRAMUKA KWARCAB Kab. Langkat,Sumatera Utara
9071206,GRKN-PRAMUKA KWARCAB Kab. Karo,Sumatera Utara
9071207,GRKN-PRAMUKA KWARCAB Kab. Deli Serdang,Sumatera Utara
9071208,GRKN-PRAMUKA KWARCAB Kab. Simalungun,Sumatera Utara
9071209,GRKN-PRAMUKA KWARCAB Kab. Asahan,Sumatera Utara
9071210,GRKN-PRAMUKA KWARCAB Kab. Labuhanbatu,Sumatera Utara
9071211,GRKN-PRAMUKA KWARCAB Kab. Dairi,Sumatera Utara
9071212,GRKN-PRAMUKA KWARCAB Kab. Toba Samosir,Sumatera Utara
9071213,GRKN-PRAMUKA KWARCAB Kab. Mandailing Natal,Sumatera Utara
9071214,GRKN-PRAMUKA KWARCAB Kab. Nias Selatan,Sumatera Utara
9071215,GRKN-PRAMUKA KWARCAB Kab. Pakpak Bharat,Sumatera Utara
9071216,GRKN-PRAMUKA KWARCAB Kab. Humbang Hasundutan,Sumatera Utara
9071217,GRKN-PRAMUKA KWARCAB Kab. Samosir,Sumatera Utara
9071218,GRKN-PRAMUKA KWARCAB Kab. Serdang Bedagai,Sumatera Utara
9071219,GRKN-PRAMUKA KWARCAB Kab. Batu Bara,Sumatera Utara
9071220,GRKN-PRAMUKA KWARCAB Kab. Padang Lawas Utara,Sumatera Utara
9071221,GRKN-PRAMUKA KWARCAB Kab. Padang Lawas,Sumatera Utara
9071222,GRKN-PRAMUKA KWARCAB Kab. Labuhanbatu Selatan,Sumatera Utara
9071223,GRKN-PRAMUKA KWARCAB Kab. Labuhanbatu Utara,Sumatera Utara
9071224,GRKN-PRAMUKA KWARCAB Kab. Nias Utara,Sumatera Utara
9071225,GRKN-PRAMUKA KWARCAB Kab. Nias Barat,Sumatera Utara
9071271,GRKN-PRAMUKA KWARCAB Kota Medan,Sumatera Utara
9071272,GRKN-PRAMUKA KWARCAB Kota Pematang Siantar,Sumatera Utara
9071273,GRKN-PRAMUKA KWARCAB Kota Sibolga,Sumatera Utara
9071274,GRKN-PRAMUKA KWARCAB Kota Tanjung Balai,Sumatera Utara
9071275,GRKN-PRAMUKA KWARCAB Kota Binjai,Sumatera Utara
9071276,GRKN-PRAMUKA KWARCAB Kota Tebing Tinggi,Sumatera Utara
9071277,GRKN-PRAMUKA KWARCAB Kota Padang Sidempuan,Sumatera Utara
9071278,GRKN-PRAMUKA KWARCAB Kota Gunung Sitoli,Sumatera Utara
90713,GRKN-PRAMUKA KWARDA   SUMBAR,Sumatera Barat
9071301,GRKN-PRAMUKA KWARCAB Kab. Pesisir Selatan,Sumatera Barat
9071302,GRKN-PRAMUKA KWARCAB Kab. Solok,Sumatera Barat
9071303,GRKN-PRAMUKA KWARCAB Kab. Sijunjung,Sumatera Barat
9071304,GRKN-PRAMUKA KWARCAB Kab. Tanah Datar,Sumatera Barat
9071305,GRKN-PRAMUKA KWARCAB Kab. Padang Pariaman,Sumatera Barat
9071306,GRKN-PRAMUKA KWARCAB Kab. Agam,Sumatera Barat
9071307,GRKN-PRAMUKA KWARCAB Kab. Lima Puluh Kota,Sumatera Barat
9071308,GRKN-PRAMUKA KWARCAB Kab. Pasaman,Sumatera Barat
9071309,GRKN-PRAMUKA KWARCAB Kab. Kepulauan Mentawai,Sumatera Barat
9071310,GRKN-PRAMUKA KWARCAB Kab. Dharmasraya,Sumatera Barat
9071311,GRKN-PRAMUKA KWARCAB Kab. Solok Selatan,Sumatera Barat
9071312,GRKN-PRAMUKA KWARCAB Kab. Pasaman Barat,Sumatera Barat
9071371,GRKN-PRAMUKA KWARCAB Kota Padang,Sumatera Barat
9071372,GRKN-PRAMUKA KWARCAB Kota Solok,Sumatera Barat
9071373,GRKN-PRAMUKA KWARCAB Kota Sawahlunto,Sumatera Barat
