GROUP ID,KETERANGAN,PROPINSI
800,KEMENDAGRI
811,PEMDA PROV.  Aceh,Aceh
81101,PEMDA Kab. Aceh Selatan,Aceh
81102,PEMDA Kab. Aceh Tenggara,Aceh
81103,PEMDA Kab. Aceh Timur,Aceh
81104,PEMDA Kab. Aceh Tengah,Aceh
81105,PEMDA Kab. Aceh Barat,Aceh
81106,PEMDA Kab. Aceh Besar,Aceh
81107,PEMDA Kab. Pidie,Aceh
81108,PEMDA Kab. Aceh Utara,Aceh
81109,PEMDA Kab. Simeulue,Aceh
81110,PEMDA Kab. Aceh Singkil,Aceh
81111,PEMDA Kab. Bireuen,Aceh
81112,PEMDA Kab. Aceh Barat Daya,Aceh
81113,PEMDA Kab. Gayo Lues,Aceh
81114,PEMDA Kab. Aceh Jaya,Aceh
81115,PEMDA Kab. Nagan Raya,Aceh
81116,PEMDA Kab. Aceh Tamiang,Aceh
81117,PEMDA Kab. Bener Meriah,Aceh
81118,PEMDA Kab. Pidie Jaya,Aceh
81171,PEMDA Kota Banda Aceh,Aceh
81172,PEMDA Kota Sabang,Aceh
81173,PEMDA Kota Lhokseumawe,Aceh
81174,PEMDA Kota Langsa,Aceh
81175,PEMDA Kota Subulussalam,Aceh
812,PEMDA PROV.  SUMUT,Sumatera Utara
81201,PEMDA Kab. Tapanuli Tengah,Sumatera Utara
81202,PEMDA Kab. Tapanuli Utara,Sumatera Utara
81203,PEMDA Kab. Tapanuli Selatan,Sumatera Utara
81204,PEMDA Kab. Nias,Sumatera Utara
81205,PEMDA Kab. Langkat,Sumatera Utara
81206,PEMDA Kab. Karo,Sumatera Utara
81207,PEMDA Kab. Deli Serdang,Sumatera Utara
81208,PEMDA Kab. Simalungun,Sumatera Utara
81209,PEMDA Kab. Asahan,Sumatera Utara
81210,PEMDA Kab. Labuhanbatu,Sumatera Utara
81211,PEMDA Kab. Dairi,Sumatera Utara
81212,PEMDA Kab. Toba Samosir,Sumatera Utara
81213,PEMDA Kab. Mandailing Natal,Sumatera Utara
81214,PEMDA Kab. Nias Selatan,Sumatera Utara
81215,PEMDA Kab. Pakpak Bharat,Sumatera Utara
81216,PEMDA Kab. Humbang Hasundutan,Sumatera Utara
81217,PEMDA Kab. Samosir,Sumatera Utara
81218,PEMDA Kab. Serdang Bedagai,Sumatera Utara
81219,PEMDA Kab. Batu Bara,Sumatera Utara
81220,PEMDA Kab. Padang Lawas Utara,Sumatera Utara
81221,PEMDA Kab. Padang Lawas,Sumatera Utara
81222,PEMDA Kab. Labuhanbatu Selatan,Sumatera Utara
81223,PEMDA Kab. Labuhanbatu Utara,Sumatera Utara
81224,PEMDA Kab. Nias Utara,Sumatera Utara
81225,PEMDA Kab. Nias Barat,Sumatera Utara
81271,PEMDA Kota Medan,Sumatera Utara
81272,PEMDA Kota Pematang Siantar,Sumatera Utara
81273,PEMDA Kota Sibolga,Sumatera Utara
81274,PEMDA Kota Tanjung Balai,Sumatera Utara
81275,PEMDA Kota Binjai,Sumatera Utara
81276,PEMDA Kota Tebing Tinggi,Sumatera Utara
81277,PEMDA Kota Padang Sidempuan,Sumatera Utara
81278,PEMDA Kota Gunung Sitoli,Sumatera Utara
813,PEMDA PROV.  SUMBAR,Sumatera Barat
81301,PEMDA Kab. Pesisir Selatan,Sumatera Barat
81302,PEMDA Kab. Solok,Sumatera Barat
81303,PEMDA Kab. Sijunjung,Sumatera Barat
81304,PEMDA Kab. Tanah Datar,Sumatera Barat
81305,PEMDA Kab. Padang Pariaman,Sumatera Barat
81306,PEMDA Kab. Agam,Sumatera Barat
81307,PEMDA Kab. Lima Puluh Kota,Sumatera Barat
81308,PEMDA Kab. Pasaman,Sumatera Barat
81309,PEMDA Kab. Kepulauan Mentawai,Sumatera Barat
81310,PEMDA Kab. Dharmasraya,Sumatera Barat
81311,PEMDA Kab. Solok Selatan,Sumatera Barat
81312,PEMDA Kab. Pasaman Barat,Sumatera Barat
81371,PEMDA Kota Padang,Sumatera Barat
81372,PEMDA Kota Solok,Sumatera Barat
81373,PEMDA Kota Sawahlunto,Sumatera Barat
81374,PEMDA Kota Padangpanjang,Sumatera Barat
81375,PEMDA Kota Bukittinggi,Sumatera Barat
81376,PEMDA Kota Payakumbuh,Sumatera Barat
81377,PEMDA Kota Pariaman,Sumatera Barat
814,PEMDA PROV.  RIAU,Riau
81401,PEMDA Kab. Kampar,Riau
81402,PEMDA Kab. Indragiri Hulu,Riau
81403,PEMDA Kab. Bengkalis,Riau
81404,PEMDA Kab. Indragiri Hilir,Riau
81405,PEMDA Kab. Pelalawan,Riau
81406,PEMDA Kab. Rokan Hulu,Riau
81407,PEMDA Kab. Rokan Hilir,Riau
81408,PEMDA Kab. Siak,Riau
81409,PEMDA Kab. Kuantan Singingi,Riau
81410,PEMDA Kab. Kepulauan Meranti,Riau
81471,PEMDA Kota Pekanbaru,Riau
81472,PEMDA Kota Dumai,Riau
815,PEMDA PROV.  JAMBI,Jambi
