GROUP ID,KETERANGAN,PROPINSI
700,KEMEN KOMINFO
711,DISKOMINFO PROV.  Aceh,Aceh
71101,DISKOMINFO Kab. Aceh Selatan,Aceh
71102,DISKOMINFO Kab. Aceh Tenggara,Aceh
71103,DISKOMINFO Kab. Aceh Timur,Aceh
71104,DISKOMINFO Kab. Aceh Tengah,Aceh
71105,DISKOMINFO Kab. Aceh Barat,Aceh
71106,DISKOMINFO Kab. Aceh Besar,Aceh
71107,DISKOMINFO Kab. Pidie,Aceh
71108,DISKOMINFO Kab. Aceh Utara,Aceh
71109,DISKOMINFO Kab. Simeulue,Aceh
71110,DISKOMINFO Kab. Aceh Singkil,Aceh
71111,DISKOMINFO Kab. Bireuen,Aceh
71112,DISKOMINFO Kab. Aceh Barat Daya,Aceh
71113,DISKOMINFO Kab. Gayo Lues,Aceh
71114,DISKOMINFO Kab. Aceh Jaya,Aceh
71115,DISKOMINFO Kab. Nagan Raya,Aceh
71116,DISKOMINFO Kab. Aceh Tamiang,Aceh
71117,DISKOMINFO Kab. Bener Meriah,Aceh
71118,DISKOMINFO Kab. Pidie Jaya,Aceh
71171,DISKOMINFO Kota Banda Aceh,Aceh
71172,DISKOMINFO Kota Sabang,Aceh
71173,DISKOMINFO Kota Lhokseumawe,Aceh
71174,DISKOMINFO Kota Langsa,Aceh
71175,DISKOMINFO Kota Subulussalam,Aceh
712,DISKOMINFO PROV.  SUMUT,Sumatera Utara
71201,DISKOMINFO Kab. Tapanuli Tengah,Sumatera Utara
71202,DISKOMINFO Kab. Tapanuli Utara,Sumatera Utara
71203,DISKOMINFO Kab. Tapanuli Selatan,Sumatera Utara
71204,DISKOMINFO Kab. Nias,Sumatera Utara
71205,DISKOMINFO Kab. Langkat,Sumatera Utara
71206,DISKOMINFO Kab. Karo,Sumatera Utara
71207,DISKOMINFO Kab. Deli Serdang,Sumatera Utara
71208,DISKOMINFO Kab. Simalungun,Sumatera Utara
71209,DISKOMINFO Kab. Asahan,Sumatera Utara
71210,DISKOMINFO Kab. Labuhanbatu,Sumatera Utara
71211,DISKOMINFO Kab. Dairi,Sumatera Utara
71212,DISKOMINFO Kab. Toba Samosir,Sumatera Utara
71213,DISKOMINFO Kab. Mandailing Natal,Sumatera Utara
71214,DISKOMINFO Kab. Nias Selatan,Sumatera Utara
