GROUP ID,KETERANGAN,PROPINSI
511,ORARI Daerah Aceh,Aceh
51101,ORARI Lokal Kab. Aceh Selatan,Aceh
51102,ORARI Lokal Kab. Aceh Tenggara,Aceh
51103,ORARI Lokal Kab. Aceh Timur,Aceh
51104,ORARI Lokal Kab. Aceh Tengah,Aceh
51105,ORARI Lokal Kab. Aceh Barat,Aceh
51106,ORARI Lokal Kab. Aceh Besar,Aceh
51107,ORARI Lokal Kab. Pidie,Aceh
51108,ORARI Lokal Kab. Aceh Utara,Aceh
51109,ORARI Lokal Kab. Simeulue,Aceh
51110,ORARI Lokal Kab. Aceh Singkil,Aceh
51111,ORARI Lokal Kab. Bireuen,Aceh
51112,ORARI Lokal Kab. Aceh Barat Daya,Aceh
51113,ORARI Lokal Kab. Gayo Lues,Aceh
51114,ORARI Lokal Kab. Aceh Jaya,Aceh
51115,ORARI Lokal Kab. Nagan Raya,Aceh
51116,ORARI Lokal Kab. Aceh Tamiang,Aceh
51117,ORARI Lokal Kab. Bener Meriah,Aceh
51118,ORARI Lokal Kab. Pidie Jaya,Aceh
51171,ORARI Lokal Kota Banda Aceh,Aceh
51172,ORARI Lokal Kota Sabang,Aceh
51173,ORARI Lokal Kota Lhokseumawe,Aceh
51174,ORARI Lokal Kota Langsa,Aceh
51175,ORARI Lokal Kota Subulussalam,Aceh
512,ORARI Daerah SUMUT,Sumatera Utara
51201,ORARI Lokal Kab. Tapanuli Tengah,Sumatera Utara
51202,ORARI Lokal Kab. Tapanuli Utara,Sumatera Utara
51203,ORARI Lokal Kab. Tapanuli Selatan,Sumatera Utara
51204,ORARI Lokal Kab. Nias,Sumatera Utara
51205,ORARI Lokal Kab. Langkat,Sumatera Utara
51206,ORARI Lokal Kab. Karo,Sumatera Utara
51207,ORARI Lokal Kab. Deli Serdang,Sumatera Utara
51208,ORARI Lokal Kab. Simalungun,Sumatera Utara
51209,ORARI Lokal Kab. Asahan,Sumatera Utara
51210,ORARI Lokal Kab. Labuhanbatu,Sumatera Utara
51211,ORARI Lokal Kab. Dairi,Sumatera Utara
51212,ORARI Lokal Kab. Toba Samosir,Sumatera Utara
51213,ORARI Lokal Kab. Mandailing Natal,Sumatera Utara
51214,ORARI Lokal Kab. Nias Selatan,Sumatera Utara
51215,ORARI Lokal Kab. Pakpak Bharat,Sumatera Utara
51216,ORARI Lokal Kab. Humbang Hasundutan,Sumatera Utara
51217,ORARI Lokal Kab. Samosir,Sumatera Utara
51218,ORARI Lokal Kab. Serdang Bedagai,Sumatera Utara
51219,ORARI Lokal Kab. Batu Bara,Sumatera Utara
51220,ORARI Lokal Kab. Padang Lawas Utara,Sumatera Utara
51221,ORARI Lokal Kab. Padang Lawas,Sumatera Utara
51222,ORARI Lokal Kab. Labuhanbatu Selatan,Sumatera Utara
51223,ORARI Lokal Kab. Labuhanbatu Utara,Sumatera Utara
51224,ORARI Lokal Kab. Nias Utara,Sumatera Utara
51225,ORARI Lokal Kab. Nias Barat,Sumatera Utara
51271,ORARI Lokal Kota Medan,Sumatera Utara
51272,ORARI Lokal Kota Pematang Siantar,Sumatera Utara
51273,ORARI Lokal Kota Sibolga,Sumatera Utara
51274,ORARI Lokal Kota Tanjung Balai,Sumatera Utara
51275,ORARI Lokal Kota Binjai,Sumatera Utara
51276,ORARI Lokal Kota Tebing Tinggi,Sumatera Utara
51277,ORARI Lokal Kota Padang Sidempuan,Sumatera Utara
51278,ORARI Lokal Kota Gunung Sitoli,Sumatera Utara
513,ORARI Daerah SUMBAR,Sumatera Barat
51301,ORARI Lokal Kab. Pesisir Selatan,Sumatera Barat
51302,ORARI Lokal Kab. Solok,Sumatera Barat
51303,ORARI Lokal Kab. Sijunjung,Sumatera Barat
51304,ORARI Lokal Kab. Tanah Datar,Sumatera Barat
51305,ORARI Lokal Kab. Padang Pariaman,Sumatera Barat
51306,ORARI Lokal Kab. Agam,Sumatera Barat
51307,ORARI Lokal Kab. Lima Puluh Kota,Sumatera Barat
51308,ORARI Lokal Kab. Pasaman,Sumatera Barat
51309,ORARI Lokal Kab. Kepulauan Mentawai,Sumatera Barat
51310,ORARI Lokal Kab. Dharmasraya,Sumatera Barat
51311,ORARI Lokal Kab. Solok Selatan,Sumatera Barat
51312,ORARI Lokal Kab. Pasaman Barat,Sumatera Barat
51371,ORARI Lokal Kota Padang,Sumatera Barat
51372,ORARI Lokal Kota Solok,Sumatera Barat
51373,ORARI Lokal Kota Sawahlunto,Sumatera Barat
51374,ORARI Lokal Kota Padangpanjang,Sumatera Barat
51375,ORARI Lokal Kota Bukittinggi,Sumatera Barat
51376,ORARI Lokal Kota Payakumbuh,Sumatera Barat
51377,ORARI Lokal Kota Pariaman,Sumatera Barat
514,ORARI Daerah RIAU,Riau
51401,ORARI Lokal Kab. Kampar,Riau
51402,ORARI Lokal Kab. Indragiri Hulu,Riau
51403,ORARI Lokal Kab. Bengkalis,Riau
51404,ORARI Lokal Kab. Indragiri Hilir,Riau
51405,ORARI Lokal Kab. Pelalawan,Riau
51406,ORARI Lokal Kab. Rokan Hulu,Riau
51407,ORARI Lokal Kab. Rokan Hilir,Riau
51408,ORARI Lokal Kab. Siak,Riau
51409,ORARI Lokal Kab. Kuantan Singingi,Riau
51410,ORARI Lokal Kab. Kepulauan Meranti,Riau
51471,ORARI Lokal Kota Pekanbaru,Riau
51472,ORARI Lokal Kota Dumai,Riau
515,ORARI Daerah JAMBI,Jambi
51501,ORARI Lokal Kab. Kerinci,Jambi
51502,ORARI Lokal Kab. Merangin,Jambi
51503,ORARI Lokal Kab. Sarolangun,Jambi
51504,ORARI Lokal Kab. Batanghari,Jambi
51505,ORARI Lokal Kab. Muaro Jambi,Jambi
51506,ORARI Lokal Kab. Tanjung Jabung Barat,Jambi
51507,ORARI Lokal Kab. Tanjung Jabung Timur,Jambi
51508,ORARI Lokal Kab. Bungo,Jambi
51509,ORARI Lokal Kab. Tebo,Jambi
51571,ORARI Lokal Kota Jambi,Jambi
51572,ORARI Lokal Kota Sungai Penuh,Jambi
516,ORARI Daerah SUMSEL,Sumatera Selatan
51601,ORARI Lokal Kab. Ogan Komering Ulu,Sumatera Selatan
51602,ORARI Lokal Kab. Ogan Komering Ilir,Sumatera Selatan
51603,ORARI Lokal Kab. Muara Enim,Sumatera Selatan
51604,ORARI Lokal Kab. Lahat,Sumatera Selatan
51605,ORARI Lokal Kab. Musi Rawas,Sumatera Selatan
51606,ORARI Lokal Kab. Musi Banyuasin,Sumatera Selatan
51607,ORARI Lokal Kab. Banyuasin,Sumatera Selatan
51608,ORARI Lokal Kab. Ogan Komering Ulu Timur,Sumatera Selatan
51609,ORARI Lokal Kab. Ogan Komering Ulu Selatan,Sumatera Selatan
51610,ORARI Lokal Kab. Ogan Ilir,Sumatera Selatan
51611,ORARI Lokal Kab. Empat Lawang,Sumatera Selatan
51612,ORARI Lokal Kab. Penukal Abab Lematang Ilir,Sumatera Selatan
51613,ORARI Lokal Kab. Musi Rawas Utara,Sumatera Selatan
51671,ORARI Lokal Kota Palembang,Sumatera Selatan
51672,ORARI Lokal Kota Pagar Alam,Sumatera Selatan
51673,ORARI Lokal Kota Lubuk Linggau,Sumatera Selatan
51674,ORARI Lokal Kota Prabumulih,Sumatera Selatan
517,ORARI Daerah BENGKULU,Bengkulu
51701,ORARI Lokal Kab. Bengkulu Selatan,Bengkulu
51702,ORARI Lokal Kab. Rejang Lebong,Bengkulu
51703,ORARI Lokal Kab. Bengkulu Utara,Bengkulu
51704,ORARI Lokal Kab. Kaur,Bengkulu
51705,ORARI Lokal Kab. Seluma,Bengkulu
51706,ORARI Lokal Kab. Mukomuko,Bengkulu
51707,ORARI Lokal Kab. Lebong,Bengkulu
51708,ORARI Lokal Kab. Kepahiang,Bengkulu
51709,ORARI Lokal Kab. Bengkulu Tengah,Bengkulu
51771,ORARI Lokal Kota Bengkulu,Bengkulu
518,ORARI Daerah LAMPUNG,Lampung
51801,ORARI Lokal Kab. Lampung Selatan,Lampung
51802,ORARI Lokal Kab. Lampung Tengah,Lampung
51803,ORARI Lokal Kab. Lampung Utara,Lampung
51804,ORARI Lokal Kab. Lampung Barat,Lampung
51805,ORARI Lokal Kab. Tulang Bawang,Lampung
51806,ORARI Lokal Kab. Tenggamus,Lampung
51807,ORARI Lokal Kab. Lampung Timur,Lampung
51808,ORARI Lokal Kab. Way Kanan,Lampung
51809,ORARI Lokal Kab. Pesawaran,Lampung
51810,ORARI Lokal Kab. Pringsewu,Lampung
51811,ORARI Lokal Kab. Mesuji,Lampung
51812,ORARI Lokal Kab. Tulang Bawang Barat,Lampung
51813,ORARI Lokal Kab. Pesisir Barat,Lampung
51871,ORARI Lokal Kota Bandar Lampung,Lampung
51872,ORARI Lokal Kota Metro,Lampung
519,ORARI Daerah BABEL,Bangka Belitung
51901,ORARI Lokal Kab. Bangka,Bangka Belitung
51902,ORARI Lokal Kab. Belitung,Bangka Belitung
51903,ORARI Lokal Kab. Bangka Selatan,Bangka Belitung
51904,ORARI Lokal Kab. Bangka Tengah,Bangka Belitung
51905,ORARI Lokal Kab. Bangka Barat,Bangka Belitung
51906,ORARI Lokal Kab. Belitung Timur,Bangka Belitung
51971,ORARI Lokal Kota Pangkal Pinang,Bangka Belitung
521,ORARI Daerah KEPRI,Kepulauan Riau
52101,ORARI Lokal Kab. Bintan,Kepulauan Riau
52102,ORARI Lokal Kab. Karimun,Kepulauan Riau
52103,ORARI Lokal Kab. Natuna,Kepulauan Riau
52104,ORARI Lokal Kab. Lingga,Kepulauan Riau
52105,ORARI Lokal Kab. Kepulauan Anambas,Kepulauan Riau
52171,ORARI Lokal Kota Batam,Kepulauan Riau
52172,ORARI Lokal Kota Tanjung Pinang,Kepulauan Riau
531,ORARI Daerah DKI Jakarta,DKI Jakarta
53101,ORARI Lokal Kab. Administrasi Kepulauan Seribu,DKI Jakarta
53171,ORARI Lokal Kota Administrasi Jakarta Pusat,DKI Jakarta
53172,ORARI Lokal Kota Administrasi Jakarta Utara,DKI Jakarta
53173,ORARI Lokal Kota Administrasi Jakarta Barat,DKI Jakarta
53174,ORARI Lokal Kota Administrasi Jakarta Selatan,DKI Jakarta
53175,ORARI Lokal Kota Administrasi Jakarta Timur,DKI Jakarta
532,ORARI Daerah JABAR,Jawa Barat
53201,ORARI Lokal Kab. Bogor,Jawa Barat
53202,ORARI Lokal Kab. Sukabumi,Jawa Barat
53203,ORARI Lokal Kab. Cianjur,Jawa Barat
53204,ORARI Lokal Kab. Bandung,Jawa Barat
53205,ORARI Lokal Kab. Garut,Jawa Barat
53206,ORARI Lokal Kab. Tasikmalaya,Jawa Barat
53207,ORARI Lokal Kab. Ciamis,Jawa Barat
53208,ORARI Lokal Kab. Kuningan,Jawa Barat
53209,ORARI Lokal Kab. Cirebon,Jawa Barat
53210,ORARI Lokal Kab. Majalengka,Jawa Barat
53211,ORARI Lokal Kab. Sumedang,Jawa Barat
53212,ORARI Lokal Kab. Indramayu,Jawa Barat
53213,ORARI Lokal Kab. Subang,Jawa Barat
53214,ORARI Lokal Kab. Purwakarta,Jawa Barat
53215,ORARI Lokal Kab. Karawang,Jawa Barat
53216,ORARI Lokal Kab. Bekasi,Jawa Barat
53217,ORARI Lokal Kab. Bandung Barat,Jawa Barat
53218,ORARI Lokal Kab. Pangandaran,Jawa Barat
53271,ORARI Lokal Kota Bogor,Jawa Barat
