GROUP ID,KETERANGAN,PROPINSI
600,POLISI RI
611,POLISI DAERAH  Aceh,Aceh
61101,POLISI RESORT Kab. Aceh Selatan,Aceh
61102,POLISI RESORT Kab. Aceh Tenggara,Aceh
61103,POLISI RESORT Kab. Aceh Timur,Aceh
61104,POLISI RESORT Kab. Aceh Tengah,Aceh
61105,POLISI RESORT Kab. Aceh Barat,Aceh
61106,POLISI RESORT Kab. Aceh Besar,Aceh
61107,POLISI RESORT Kab. Pidie,Aceh
61108,POLISI RESORT Kab. Aceh Utara,Aceh
61109,POLISI RESORT Kab. Simeulue,Aceh
61110,POLISI RESORT Kab. Aceh Singkil,Aceh
61111,POLISI RESORT Kab. Bireuen,Aceh
61112,POLISI RESORT Kab. Aceh Barat Daya,Aceh
61113,POLISI RESORT Kab. Gayo Lues,Aceh
61114,POLISI RESORT Kab. Aceh Jaya,Aceh
61115,POLISI RESORT Kab. Nagan Raya,Aceh
61116,POLISI RESORT Kab. Aceh Tamiang,Aceh
61117,POLISI RESORT Kab. Bener Meriah,Aceh
61118,POLISI RESORT Kab. Pidie Jaya,Aceh
61171,POLISI RESORT Kota Banda Aceh,Aceh
61172,POLISI RESORT Kota Sabang,Aceh
61173,POLISI RESORT Kota Lhokseumawe,Aceh
61174,POLISI RESORT Kota Langsa,Aceh
61175,POLISI RESORT Kota Subulussalam,Aceh
612,POLISI DAERAH  SUMUT,Sumatera Utara
61201,POLISI RESORT Kab. Tapanuli Tengah,Sumatera Utara
61202,POLISI RESORT Kab. Tapanuli Utara,Sumatera Utara
61203,POLISI RESORT Kab. Tapanuli Selatan,Sumatera Utara
61204,POLISI RESORT Kab. Nias,Sumatera Utara
61205,POLISI RESORT Kab. Langkat,Sumatera Utara
61206,POLISI RESORT Kab. Karo,Sumatera Utara
61207,POLISI RESORT Kab. Deli Serdang,Sumatera Utara
61208,POLISI RESORT Kab. Simalungun,Sumatera Utara
61209,POLISI RESORT Kab. Asahan,Sumatera Utara
61210,POLISI RESORT Kab. Labuhanbatu,Sumatera Utara
61211,POLISI RESORT Kab. Dairi,Sumatera Utara
61212,POLISI RESORT Kab. Toba Samosir,Sumatera Utara
61213,POLISI RESORT Kab. Mandailing Natal,Sumatera Utara
61214,POLISI RESORT Kab. Nias Selatan,Sumatera Utara
61215,POLISI RESORT Kab. Pakpak Bharat,Sumatera Utara
61216,POLISI RESORT Kab. Humbang Hasundutan,Sumatera Utara
61217,POLISI RESORT Kab. Samosir,Sumatera Utara
61218,POLISI RESORT Kab. Serdang Bedagai,Sumatera Utara
61219,POLISI RESORT Kab. Batu Bara,Sumatera Utara
61220,POLISI RESORT Kab. Padang Lawas Utara,Sumatera Utara
61221,POLISI RESORT Kab. Padang Lawas,Sumatera Utara
61222,POLISI RESORT Kab. Labuhanbatu Selatan,Sumatera Utara
61223,POLISI RESORT Kab. Labuhanbatu Utara,Sumatera Utara
61224,POLISI RESORT Kab. Nias Utara,Sumatera Utara
61225,POLISI RESORT Kab. Nias Barat,Sumatera Utara
61271,POLISI RESORT Kota Medan,Sumatera Utara
61272,POLISI RESORT Kota Pematang Siantar,Sumatera Utara
61273,POLISI RESORT Kota Sibolga,Sumatera Utara
61274,POLISI RESORT Kota Tanjung Balai,Sumatera Utara
61275,POLISI RESORT Kota Binjai,Sumatera Utara
61276,POLISI RESORT Kota Tebing Tinggi,Sumatera Utara
61277,POLISI RESORT Kota Padang Sidempuan,Sumatera Utara
61278,POLISI RESORT Kota Gunung Sitoli,Sumatera Utara
613,POLISI DAERAH  SUMBAR,Sumatera Barat
61301,POLISI RESORT Kab. Pesisir Selatan,Sumatera Barat
61302,POLISI RESORT Kab. Solok,Sumatera Barat
61303,POLISI RESORT Kab. Sijunjung,Sumatera Barat
61304,POLISI RESORT Kab. Tanah Datar,Sumatera Barat
61305,POLISI RESORT Kab. Padang Pariaman,Sumatera Barat
61306,POLISI RESORT Kab. Agam,Sumatera Barat
61307,POLISI RESORT Kab. Lima Puluh Kota,Sumatera Barat
61308,POLISI RESORT Kab. Pasaman,Sumatera Barat
61309,POLISI RESORT Kab. Kepulauan Mentawai,Sumatera Barat
61310,POLISI RESORT Kab. Dharmasraya,Sumatera Barat
61311,POLISI RESORT Kab. Solok Selatan,Sumatera Barat
61312,POLISI RESORT Kab. Pasaman Barat,Sumatera Barat
61371,POLISI RESORT Kota Padang,Sumatera Barat
61372,POLISI RESORT Kota Solok,Sumatera Barat
