GROUP ID,KETERANGAN,PROPINSI
201,RAPI Daerah Aceh,Aceh
20101,RAPI Wilayah Kab. Aceh Selatan,Aceh
20102,RAPI Wilayah Kab. Aceh Tenggara,Aceh
20103,RAPI Wilayah Kab. Aceh Timur,Aceh
20104,RAPI Wilayah Kab. Aceh Tengah,Aceh
20105,RAPI Wilayah Kab. Aceh Barat,Aceh
20106,RAPI Wilayah Kab. Aceh Besar,Aceh
20107,RAPI Wilayah Kab. Pidie,Aceh
20108,RAPI Wilayah Kab. Aceh Utara,Aceh
20109,RAPI Wilayah Kab. Simeulue,Aceh
201.1,RAPI Wilayah Kab. Aceh Singkil,Aceh
20111,RAPI Wilayah Kab. Bireuen,Aceh
20112,RAPI Wilayah Kab. Aceh Barat Daya,Aceh
20113,RAPI Wilayah Kab. Gayo Lues,Aceh
20114,RAPI Wilayah Kab. Aceh Jaya,Aceh
20115,RAPI Wilayah Kab. Nagan Raya,Aceh
20116,RAPI Wilayah Kab. Aceh Tamiang,Aceh
20117,RAPI Wilayah Kab. Bener Meriah,Aceh
20118,RAPI Wilayah Kab. Pidie Jaya,Aceh
20171,RAPI Wilayah Kota Banda Aceh,Aceh
20172,RAPI Wilayah Kota Sabang,Aceh
20173,RAPI Wilayah Kota Lhokseumawe,Aceh
20174,RAPI Wilayah Kota Langsa,Aceh
20175,RAPI Wilayah Kota Subulussalam,Aceh
202,RAPI Daerah SUMUT,Sumatera Utara
20201,RAPI Wilayah Kab. Tapanuli Tengah,Sumatera Utara
20202,RAPI Wilayah Kab. Tapanuli Utara,Sumatera Utara
20203,RAPI Wilayah Kab. Tapanuli Selatan,Sumatera Utara
20204,RAPI Wilayah Kab. Nias,Sumatera Utara
20205,RAPI Wilayah Kab. Langkat,Sumatera Utara
20206,RAPI Wilayah Kab. Karo,Sumatera Utara
20207,RAPI Wilayah Kab. Deli Serdang,Sumatera Utara
20208,RAPI Wilayah Kab. Simalungun,Sumatera Utara
20209,RAPI Wilayah Kab. Asahan,Sumatera Utara
202.1,RAPI Wilayah Kab. Labuhanbatu,Sumatera Utara
20211,RAPI Wilayah Kab. Dairi,Sumatera Utara
20212,RAPI Wilayah Kab. Toba Samosir,Sumatera Utara
20213,RAPI Wilayah Kab. Mandailing Natal,Sumatera Utara
20214,RAPI Wilayah Kab. Nias Selatan,Sumatera Utara
20215,RAPI Wilayah Kab. Pakpak Bharat,Sumatera Utara
20216,RAPI Wilayah Kab. Humbang Hasundutan,Sumatera Utara
20217,RAPI Wilayah Kab. Samosir,Sumatera Utara
20218,RAPI Wilayah Kab. Serdang Bedagai,Sumatera Utara
20219,RAPI Wilayah Kab. Batu Bara,Sumatera Utara
202.2,RAPI Wilayah Kab. Padang Lawas Utara,Sumatera Utara
20221,RAPI Wilayah Kab. Padang Lawas,Sumatera Utara
20222,RAPI Wilayah Kab. Labuhanbatu Selatan,Sumatera Utara
20223,RAPI Wilayah Kab. Labuhanbatu Utara,Sumatera Utara
20224,RAPI Wilayah Kab. Nias Utara,Sumatera Utara
20225,RAPI Wilayah Kab. Nias Barat,Sumatera Utara
20271,RAPI Wilayah Kota Medan,Sumatera Utara
20272,RAPI Wilayah Kota Pematang Siantar,Sumatera Utara
20273,RAPI Wilayah Kota Sibolga,Sumatera Utara
20274,RAPI Wilayah Kota Tanjung Balai,Sumatera Utara
20275,RAPI Wilayah Kota Binjai,Sumatera Utara
20276,RAPI Wilayah Kota Tebing Tinggi,Sumatera Utara
20277,RAPI Wilayah Kota Padang Sidempuan,Sumatera Utara
20378,RAPI Wilayah Kota Gunung Sitoli,Sumatera Utara
203,RAPI Daerah SUMBAR,Sumatera Barat
20301,RAPI Wilayah Kab. Pesisir Selatan,Sumatera Barat
20302,RAPI Wilayah Kab. Solok,Sumatera Barat
20303,RAPI Wilayah Kab. Sijunjung,Sumatera Barat
20304,RAPI Wilayah Kab. Tanah Datar,Sumatera Barat
20305,RAPI Wilayah Kab. Padang Pariaman,Sumatera Barat
20306,RAPI Wilayah Kab. Agam,Sumatera Barat
20307,RAPI Wilayah Kab. Lima Puluh Kota,Sumatera Barat
20308,RAPI Wilayah Kab. Pasaman,Sumatera Barat
20309,RAPI Wilayah Kab. Kepulauan Mentawai,Sumatera Barat
203.1,RAPI Wilayah Kab. Dharmasraya,Sumatera Barat
20311,RAPI Wilayah Kab. Solok Selatan,Sumatera Barat
20312,RAPI Wilayah Kab. Pasaman Barat,Sumatera Barat
20371,RAPI Wilayah Kota Padang,Sumatera Barat
20372,RAPI Wilayah Kota Solok,Sumatera Barat
20373,RAPI Wilayah Kota Sawahlunto,Sumatera Barat
20374,RAPI Wilayah Kota Padangpanjang,Sumatera Barat
20375,RAPI Wilayah Kota Bukittinggi,Sumatera Barat
20376,RAPI Wilayah Kota Payakumbuh,Sumatera Barat
20377,RAPI Wilayah Kota Pariaman,Sumatera Barat
204,RAPI Daerah RIAU,Riau
20401,RAPI Wilayah Kab. Kampar,Riau
20402,RAPI Wilayah Kab. Indragiri Hulu,Riau
20403,RAPI Wilayah Kab. Bengkalis,Riau
20404,RAPI Wilayah Kab. Indragiri Hilir,Riau
20405,RAPI Wilayah Kab. Pelalawan,Riau
20406,RAPI Wilayah Kab. Rokan Hulu,Riau
20407,RAPI Wilayah Kab. Rokan Hilir,Riau
20408,RAPI Wilayah Kab. Siak,Riau
20409,RAPI Wilayah Kab. Kuantan Singingi,Riau
204.1,RAPI Wilayah Kab. Kepulauan Meranti,Riau
20471,RAPI Wilayah Kota Pekanbaru,Riau
20472,RAPI Wilayah Kota Dumai,Riau
205,RAPI Daerah JAMBI,Jambi
20501,RAPI Wilayah Kab. Kerinci,Jambi
20502,RAPI Wilayah Kab. Merangin,Jambi
20503,RAPI Wilayah Kab. Sarolangun,Jambi
