GROUPID,KESATUAN
911,KODAM Iskandar Muda
90101,KODIM 0101 - Banda Aceh
9011,KOREM 011 - Lilawangsa
90102,KODIM 0102 - Pidie
90103,KODIM 0103 - Aceh Utara
90104,KODIM 0104 - Aceh Timur
90111,KODIM 0111 - Bireuen
90108,KODIM 0108 - Aceh Tenggara
90106,KODIM 0106 - Aceh Tengah
90113,KODIM 0113 - Gayo Lues
90119,KODIM 0119 - Bener Meriah
90117,KODIM 0117 - Aceh Tamiang
9012,KOREM 012 - Teuku Umar
90105,KODIM 0105 - Aceh Barat
90107,KODIM 0107 - Aceh Selatan
90109,KODIM 0109 - Aceh Singkil
90110,KODIM 0110 - Aceh Barat Daya
90112,KODIM 0112 - Sabang
90114,KODIM 0114 - Aceh Jaya
90115,KODIM 0115 - Simeuleu
90116,KODIM 0116 - Nagan Raya
90118,KODIM 0118 - Subulussalam
912,KODAM I - Bukit Barisan
90201,KODIM 0201 - Medan
9022,KOREM 022 - Kawal Samudera
90206,KODIM 0206 - Dairi
90212,KODIM 0212 - Padang Sidempuan
9022,KOREM 022 - Pantai Timur
90203,KODIM 0203 - Binjai
90204,KODIM 0204 - Lubuk Pakam
90207,KODIM 0207 - Simalungun
90208,KODIM 0208 - Asahan
90209,KODIM 0209 - Labuhan Batu
9022,KOREM 022 - Wira Pratama
90318,KODIM 0318 - Natuna
9023,KOREM 023 - Kawal Samudera
90205,KODIM 0205 - Tanah Karo
90210,KODIM 0210 - Tarutung
90211,KODIM 0211 - Sibolga
90213,KODIM 0213 - Gunung Sitoli
9031,KOREM 031 - Wirabima
90301,KODIM 0301 - Pekanbaru
90302,KODIM 0302 - Rengat
90303,KODIM 0303 - Bengkalis
90307,KODIM 0307 - Batusangkar
90313,KODIM 0313 - Kampar
90314,KODIM 0314 - Indragiri Hilir
90320,KODIM 0320 - Dumai
90321,KODIM 0321 - Rokan Hilir
90322,KODIM 0322 - Siak
9032,KOREM 032 - Wirabraja
90304,KODIM 0304 - Agam
90305,KODIM 0305 - Lubuk Sikaping
90306,KODIM 0306 - Sarilamak
90308,KODIM 0308 - Pariaman
90309,KODIM 0309 - Solok
90310,KODIM 0310 - Sawah Lunto
90311,KODIM 0311 - Pesisir Selatan
90312,KODIM 0312 - Padang
90319,KODIM 0319 - Tuapejat
9033,KOREM 033 - Wira Pratama
90315,KODIM 0315 - Tanjung Pinang
90316,KODIM 0316 - Batam
90317,KODIM 0317 - Tanjung Balai Karimun
916,KODAM II - Sriwijaya
9041,KOREM 041 - Garuda Emas
90407,KODIM 0407 - Bengkulu
90408,KODIM 0408 - Bengkulu Selatan
90409,KODIM 0409 - Rejang Lebong
90423,KODIM 0423 - Bengkulu Utara
90425,KODIM 0425 - Seluma
90428,KODIM 0428 - Mukomuko
9042,KOREM 042 - Garuda Putih
90415,KODIM 0415 - Batanghari
90416,KODIM 0416 - Bungo
90417,KODIM 0417 - Kerinci
90419,KODIM 0419 - Tanjung Jabung
90420,KODIM 0420 - Sarolangun
9043,KOREM 043 - Garuda Hitam
90410,KODIM 0410 - Bandar Lampung
90411,KODIM 0411 - Metro
90412,KODIM 0412 - Lampung Utara
90421,KODIM 0421 - Lampung Selatan
90422,KODIM 0422 - Lampung Barat
90424,KODIM 0424 - Tanggamus
90426,KODIM 0426 - Tulang Bawang
90427,KODIM 0427 - Way Kanan
90429,KODIM 0429 - Lampung Timur
90413,KODIM 0413 - Bangka
9044,KOREM 044 - Garuda Dempo
90401,KODIM 0401 - Musi Banyuasin
90402,KODIM 0402 - Ogan Komering Ilir
90403,KODIM 0403 - Ogan Komering Ulu
90404,KODIM 0404 - Muara Enim
90405,KODIM 0405 - Lahat
90406,KODIM 0406 - Musi Rawas
90418,KODIM 0418 - Palembang
90430,KODIM 0430 - Banyuasin
90414,KODIM 0414 - Belitung
90431,KODIM 0431 - Bangka Barat
931,KODAM Jaya
90501,KODIM 0501 - Jakarta Pusat
9051,KOREM 051 - Wijayakarta
90504,KODIM 0504 - Jakarta Selatan
90505,KODIM 0505 - Jakarta Timur
90507,KODIM 0507 - Bekasi
90508,KODIM 0508 - Depok
9052,KOREM 052 - Wijayakrama
90502,KODIM 0502 - Jakarta Utara
90503,KODIM 0503 - Jakarta Barat
90506,KODIM 0506 - Tangerang
90509,KODIM 0509 - Cikarang
90510,KODIM 0510 - Tigaraksa
932,KODAM III - Siliwangi
90618,KODIM 0618 - Bandung
9061,KOREM 061 - Surya Kencana
90606,KODIM 0606 - Bogor
90607,KODIM 0607 - Sukabumi
90608,KODIM 0608 - Cianjur
90621,KODIM 0621 - Cibinong
90622,KODIM 0622 - Palabuhanratu
9062,KOREM 062 - Tarumanagara
90609,KODIM 0609 - Cimahi
90610,KODIM 0610 - Sumedang
90611,KODIM 0611 - Garut
90612,KODIM 0612 - Tasikmalaya
90613,KODIM 0613 - Ciamis
90624,KODIM 0624 - Soreang
90625,KODIM 0625 - Pangandaran
9063,KOREM 063 - Sunan Gunung Jati
90604,KODIM 0604 - Karawang
90605,KODIM 0605 - Subang
90614,KODIM 0614 - Cirebon
90615,KODIM 0615 - Kuningan
90616,KODIM 0616 - Indramayu
90617,KODIM 0617 - Majalengka
